fold,model,n_train,n_test,tuned,tune_score,params,mae_total,rmse_total,mae_margin,rmse_margin,pi80_cov_total,pi80_cov_margin,pi80_width_total,pi80_width_margin,brier_win,sigma_total,sigma_margin,sigma_k_total,sigma_k_margin,n_cal
9,ridge,2600,200,False,,,0.0015113956381456362,0.00708122087514003,4.891049014265736e-05,6.054604171030279e-05,0.98,1.0,0.07689309393268218,0.0768930939326758,0.01125998773274531,0.03,0.03,3.0,3.0,390.0
9,random_forest,2600,200,False,,,0.01930221726190453,0.14010306910884016,0.006710515873015712,0.055731905160854106,0.99,0.995,0.7271843665225788,0.8191538631986098,0.011250057700242464,0.28371248807829014,0.31959457786254086,1.3536561791444062,2.2195257612008525,390.0
9,gbt,2600,200,False,,,0.17393969048904723,0.5167399312572921,0.17244979548659942,0.737533226547044,0.94,0.96,0.9367083841443673,0.8719689991159211,0.012745850297350106,0.36545871790430673,0.3402005126283678,0.7146560243284961,1.093738582601194,390.0
9,xgboost,2600,200,True,1.6156973151003335,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 3.0, ""n_estimators"": 1398, ""n_jobs"": -1, ""reg_lambda"": 0.5, ""subsample"": 0.9}",0.015524921417236328,0.09253931246690875,0.01931966462583091,0.16369903092813204,0.955,0.975,0.0768897607922554,0.07689297944307327,0.011188642619170986,0.03,0.03,3.0,3.0,390.0
9,catboost,2600,200,True,1.8447733782950537,"{""depth"": 4, ""iterations"": 2774, ""l2_leaf_reg"": 8.0, ""learning_rate"": 0.03, ""subsample"": 1.0}",0.06976275719249166,0.12368302430881487,0.05771615268485208,0.15817553480313573,0.95,0.955,0.4338316457233602,0.3119339290854981,0.006638390079059582,0.16926031592767363,0.12170166908303079,3.0,3.0,390.0
10,ridge,2800,200,False,,,0.006311648725720538,0.008394055360492802,4.5026228050862874e-05,5.724165424628229e-05,1.0,1.0,0.0768930939326819,0.07689309393267597,0.009983919593192196,0.03,0.03,3.0,3.0,420.0
10,random_forest,2800,200,False,,,0.04155668154761866,0.3991427396121966,0.03451801587301596,0.2552629513166877,0.985,0.98,0.8481402515946561,0.8344365907366388,0.010000096295157879,0.33090367738508575,0.32555716569315,1.6520934352226557,2.5225666830675095,420.0
10,gbt,2800,200,False,,,0.30389854045270914,1.388010733250718,0.1611853236939786,0.775340387088647,0.905,0.965,0.9117649943199817,0.9241391466101184,0.01084194755488502,0.3557270026557753,0.3605548038238328,0.7286736683512992,1.1280137864644633,420.0
10,xgboost,2800,200,True,1.7278282839586636,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 3.0, ""n_estimators"": 412, ""n_jobs"": -1, ""reg_lambda"": 0.5, ""subsample"": 1.0}",0.0957560157775879,0.2101553646062085,0.16004348559770734,0.23171509719483255,0.97,0.96,0.5855249166488647,0.982429027557373,0.013685433352288733,0.2284417558512714,0.3832967065217515,3.0,3.0,420.0
10,catboost,2800,200,True,1.538168775298353,"{""depth"": 4, ""iterations"": 1893, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03, ""subsample"": 1.0}",0.07935854345712993,0.24060578606146102,0.03770380599051501,0.08145187982120757,0.96,0.955,0.44202974355002284,0.25999631174957144,0.005685369076006932,0.17245882078969454,0.10143810001085862,3.0,3.0,420.0
11,ridge,3000,200,False,,,0.0007528086967478132,0.0009777440106143087,4.028854385280223e-05,5.002758589094835e-05,1.0,1.0,0.07689309393268218,0.07689309393267585,0.012509492764744072,0.03,0.03,3.0,3.0,450.0
11,random_forest,3000,200,False,,,0.017999062500000135,0.22421962266327303,0.01747549603174596,0.17224896654931876,0.995,0.99,0.8163230311014606,0.8026241958868183,0.012500034597677909,0.31849012285141703,0.3131454938942469,1.8078588619855225,2.6237954038239892,450.0
